frame,loss_rate,iou,dice,valid
0,0.7438844118067808,0.986750100737159,0.00389541516746285,True
1,0.7398494090735799,0.9862798020692758,0.0038944804509959347,True
2,0.7717080152671756,0.9870556689288595,0.0038960222457236444,True
3,0.7348292357060207,0.9872343959472766,0.003896377239627926,True
4,0.7287864691428707,0.9873536355331997,0.0038966140419873776,True
5,0.7363542125895123,0.9870851550373819,0.0038960808164704573,True
6,0.6781317410943069,0.9871597450901424,0.0038962289732297306,True
7,0.7179401557524657,0.9876146299218204,0.0038971322613633196,True
8,0.6719645431475105,0.9876907402141977,0.0038972833570985388,True
9,0.6422094865898558,0.9879161236820282,0.0038977307251863796,True
10,0.6885460718327476,0.9876085437077228,0.00389712017838486,True
11,0.7556615017878427,0.9874414467832789,0.0038967884114699874,True
12,1.039803486680499,0.9843318190983383,0.0038906041254045923,True
13,0.7488225123710726,0.9871677795040263,0.003896244931164951,True
14,0.7163118876784821,0.9870839307509095,0.0038960783846014612,True
15,0.7163118876784821,0.9870839307509095,0.0038960783846014612,True
16,0.7841031149301826,0.9866481521042513,0.0038952125825866667,True
17,0.7501759156558971,0.9874577276772472,0.0038968207392454093,True
18,0.751494041725812,0.987373467668245,0.003896653424611022,True
19,1.1563935795691866,0.9834597893586958,0.0038888663909396257,True
20,0.8395044062056547,0.9865696963944618,0.0038950566669734748,True
21,1.0465518681607178,0.984202342943278,0.0038903462087691363,True
22,1.3816245133863532,0.9821842703043422,0.003886321850601666,True
23,1.905148436847194,0.9756841792816859,0.0038733037475275445,True
24,2.4273819208498826,0.9711370158246312,0.00386414584439326,True
25,1.8929745889387144,0.9757959965269931,0.0038735284143696187,True
26,1.184604912766745,0.9831175002970179,0.0038881838778442378,True
27,1.0180792715714508,0.9849349599296093,0.0038918051391231656,True
28,1.24420327962901,0.9827772821885221,0.003887505260649448,True
29,1.16202691889697,0.9832598700234053,0.003888467786997384,True
30,1.4922158268215924,0.9800816734727894,0.0038821202120311064,True
31,1.1925673657166755,0.9832570307390451,0.0038884621253857036,True
32,1.003924759488824,0.9851394958383444,0.0038922122587773307,True
33,0.7571136388101475,0.9871511171389821,0.003896211836268382,True
34,0.7413962164876952,0.9871560069452703,0.003896221548490605,True
35,0.7358307708874239,0.9871378428222976,0.003896185470338043,True
36,0.7189683223274954,0.9873063836874539,0.003896520206176443,True
37,0.7853653864572359,0.9872531033332539,0.0038964143932058177,True
38,0.7612026043661432,0.9873773459083548,0.0038966611259224587,True
39,0.7319173363949484,0.9871204823575582,0.0038961509878203036,True
40,0.753750807590151,0.9870302943766213,0.0038959718407165973,True
41,0.7537778628602879,0.9869945979391257,0.003895900929731918,True
42,0.7260331319897135,0.987107823315335,0.0038961258432029743,True
43,0.732188789854639,0.98728016943909,0.003896468146280157,True
44,0.732188789854639,0.98728016943909,0.003896468146280157,True
45,0.7298833383188753,0.9871027614843723,0.003896115788813759,True
46,0.8501670398620573,0.9861139229953911,0.003894150661487822,True
47,0.7424171666008071,0.9869503613654494,0.0038958130502287805,True
48,2.6859504132231407,0.9682554859683511,0.0038583205932360798,True
49,0.9698249993998608,0.9851227433374725,0.0038921789168216937,True
50,0.831413763317017,0.9861841869787752,0.0038942903622921094,True
51,0.935139671502218,0.9853444472268927,0.0038926201212845834,True
52,1.057610352816893,0.9842956947512987,0.003890532169053111,True
53,0.9480379215168607,0.9859525060920254,0.0038938296904749772,True
54,1.092686206937957,0.984639475949125,0.0038912168431853218,True
55,1.0575595702538865,0.9847668430925101,0.003891470447186959,True
56,0.9326275611249145,0.9859518348623854,0.0038938283556529296,True
57,1.1789423134641934,0.9837344933910175,0.0038894139713516428,True
58,0.9941050053427141,0.985221027479092,0.003892374520506854,True
59,3.230350606819495,0.9630352991924082,0.0038477239996596206,True
60,0.8781941157390165,0.9861592522649583,0.0038942407875326526,True
61,0.8960530424964567,0.9858764487991397,0.0038936784355254033,True
62,0.8748212504656501,0.985967512520469,0.003893859532353555,True
63,0.8685728015377222,0.9856189008731382,0.0038931661645516973,True
64,0.8683520554205855,0.9869601139942284,0.003895832424944643,True
65,1.4144305593976643,0.9818641367496795,0.0038856827001387084,True
66,0.8647959490504084,0.987184400900685,0.0038962779441368985,True
67,0.8919758287791608,0.9869222286152666,0.003895757160227581,True
68,1.091482346145515,0.9855981389102072,0.003893124862562262,True
69,0.9033825722946639,0.9868469914589298,0.0038956076823590887,True
70,0.8701827022603087,0.9871753382953987,0.0038962599443019747,True
71,0.8960681252330379,0.9868848139320405,0.00389568282779785,True
72,1.060525808936826,0.9855863201947406,0.0038931013510825146,True
73,0.9520370704700005,0.9863956178307304,0.0038947106753733757,True
74,1.0777650808925243,0.9848156441974925,0.0038915676077002303,True
75,0.8347767513471901,0.9872938696813288,0.003896495354295866,True
76,1.7836899105140018,0.9784225385955427,0.003878798443603488,True
77,0.8381433381433382,0.9868717089516515,0.0038956567912336267,True
78,0.9306352126393247,0.9864238767374205,0.0038947668457706363,True
79,0.9334776855527487,0.9863345110485657,0.003894589207593631,True
80,1.128581074563519,0.9829659198523154,0.0038878815561625233,True
81,1.0813289726167918,0.9847183343945601,0.0038913738641059986,True
82,1.2011794276875483,0.9844786687056727,0.00389089660924289,True
83,1.1820673500682193,0.9840682001274544,0.0038900789606366093,True
84,1.0175383538329692,0.9853881278538813,0.0038927070368165667,True
85,0.967290621381706,0.985335765372246,0.003892602845710279,True
86,0.9189691144369806,0.9862666714685298,0.0038944543476349307,True
87,0.9609812632798918,0.9860096153846154,0.003893943255968053,True
88,0.9645061728395061,0.9856609750536963,0.0038932498605093375,True
