               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  31,            0.005487,           0.0047713,          0.00025961,             0.99995,                   1,               0.995,             0.99465,            0.002407,           0.0028579,          0.00011347,             0.00406,             0.00406,             0.00406
                  32,           0.0052397,            0.004632,          0.00023523,             0.99995,                   1,               0.995,             0.99452,           0.0023981,           0.0022015,          0.00017756,            0.003862,            0.003862,            0.003862
                  33,           0.0050848,           0.0045471,          0.00023513,             0.99995,                   1,               0.995,               0.995,           0.0022049,           0.0021985,          0.00019308,            0.003664,            0.003664,            0.003664
                  34,           0.0046937,           0.0043817,          0.00020685,             0.99995,                   1,               0.995,             0.97966,           0.0025073,           0.0024087,          0.00016645,            0.003466,            0.003466,            0.003466
                  35,           0.0046475,           0.0043258,          0.00020161,             0.99995,                   1,               0.995,             0.99495,           0.0020789,           0.0023708,          0.00014867,            0.003268,            0.003268,            0.003268
                  36,           0.0043223,           0.0041186,          0.00021993,             0.99995,                   1,               0.995,               0.995,           0.0022529,           0.0022193,          0.00019623,             0.00307,             0.00307,             0.00307
                  37,           0.0042076,           0.0040585,          0.00020427,             0.99995,                   1,               0.995,             0.99475,           0.0020091,           0.0034499,          0.00014982,            0.002872,            0.002872,            0.002872
                  38,           0.0041364,           0.0041345,          0.00017035,             0.99995,                   1,               0.995,              0.9949,           0.0020479,           0.0021939,          0.00014208,            0.002674,            0.002674,            0.002674
                  39,           0.0039047,           0.0038493,          0.00016603,             0.99995,                   1,               0.995,             0.99499,            0.002007,           0.0018054,           0.0001185,            0.002476,            0.002476,            0.002476
                  40,           0.0037183,           0.0037798,          0.00017296,             0.99995,                   1,               0.995,               0.995,           0.0019752,           0.0030686,            0.000137,            0.002278,            0.002278,            0.002278
                  41,           0.0035587,           0.0037375,          0.00014096,             0.99995,                   1,               0.995,               0.995,           0.0019046,           0.0028435,           0.0001068,             0.00208,             0.00208,             0.00208
                  42,           0.0033764,           0.0035715,          0.00013778,             0.99995,                   1,               0.995,               0.995,           0.0017842,           0.0023706,          0.00011147,            0.001882,            0.001882,            0.001882
                  43,           0.0031646,           0.0033931,          0.00013087,             0.99995,                   1,               0.995,               0.995,             0.00175,           0.0019658,          0.00010156,            0.001684,            0.001684,            0.001684
                  44,           0.0030159,            0.003298,          0.00011675,             0.99995,                   1,               0.995,               0.995,           0.0018147,           0.0019949,          8.6834e-05,            0.001486,            0.001486,            0.001486
                  45,           0.0028332,           0.0032083,          0.00011162,             0.99995,                   1,               0.995,               0.995,           0.0018201,           0.0028719,          7.9477e-05,            0.001288,            0.001288,            0.001288
                  46,           0.0026282,           0.0030469,          9.3205e-05,             0.99995,                   1,               0.995,               0.995,           0.0016633,           0.0037082,          6.2651e-05,             0.00109,             0.00109,             0.00109
                  47,           0.0025013,           0.0029363,          7.9402e-05,             0.99995,                   1,               0.995,               0.995,            0.001624,           0.0036317,           3.565e-05,            0.000892,            0.000892,            0.000892
                  48,           0.0024257,           0.0029188,          7.1788e-05,             0.99995,                   1,               0.995,               0.995,           0.0016067,           0.0017669,          2.5991e-05,            0.000694,            0.000694,            0.000694
                  49,           0.0023509,           0.0028733,          5.9109e-05,             0.99995,                   1,               0.995,               0.995,           0.0015775,           0.0026148,           2.169e-05,            0.000496,            0.000496,            0.000496
